 ,"(225, 75)","(250, 1)","(350, 100)","(500, 1)","(500, 125)","(700, 1)",2l top,W+LF/W+HF,WZ,1l top,rare
3jet_mct350,0.263678104,0.990359843,0.635284603,1.002874374,0.887094557,0.484470636,0.405364305,0.735746226,0.029283268,0,0.049334756
3jet_mct250,1.003066778,2.778597593,2.410566092,2.803780794,2.304457426,1.010020971,2.442601621,2.109871971,0.146416336,1.054496884,0.350343931
3jet_mct275,0.766549349,1.956158161,1.905574679,2.260745287,1.846694946,0.859441698,2.037237316,1.375373779,0.14641634,0.465443678,0.253491433
3jet_mct100,3.910399914,11.1675272,7.899739742,6.061409473,5.565877914,1.625131965,113.3066347,4.876337605,0.23426614,6.337202758,2.779751216
SR2,2.82037735,12.09236145,9.775341988,7.554386139,6.548223019,2.542717695,4.895619035,1.79660911,0.204982873,1.98196736,1.197430877
SR1,2.931266069,9.075723648,3.191396713,1.038091779,1.122523665,0.186867699,7.618879437,1.708115019,0.117133074,3.557493523,0.037183545
3jet_mct200,1.586690187,4.185136795,3.793581963,4.013175011,3.503717184,1.276837468,7.338220745,2.72674224,0.234266132,2.355243742,0.953636482
3jet_mct225,1.245793104,3.592564344,3.065587044,3.413927794,2.869647503,1.138636589,4.344717532,2.605216073,0.175699607,1.722652674,0.614006491
3jet_mct150,2.869208813,6.97733593,5.861075878,5.101536751,4.661150932,1.491270304,26.02692631,4.777767005,0.263549402,3.920749038,1.657935904
3jet_mct300,0.424836457,1.33255446,1.464669466,1.755429864,1.4457376,0.723862231,1.080971479,1.22506339,0.029283268,0.232964136,0.153228797
