 ,"(225, 75)","(250, 1)","(350, 100)","(500, 1)","(500, 125)","(700, 1)",2l top,1l top
no cut,393.6696968078613,37.22819626331329,393.6696968078613,393.6696968078613,393.6696968078613,393.6696968078613,2685242.6284179688,3341585.1606445312
ngoodleps == 1,172.49606442451477,37.20407211780548,172.49606442451477,172.49606442451477,172.49606442451477,172.49606442451477,1925658.8178710938,3334310.1372070312
nvetoleps == 1,165.95061802864075,36.331584095954895,165.95061802864075,165.95061802864075,165.95061802864075,165.95061802864075,1258201.5859375,3198044.2836914062
PassTrackVeto == 1,163.49111938476562,35.73680114746094,163.49111938476562,163.49111938476562,163.49111938476562,163.49111938476562,1026293.58984375,3025759.8515625
PassTauVeto == 1,162.8570556640625,35.59205627441406,162.8570556640625,162.8570556640625,162.8570556640625,162.8570556640625,935604.681640625,2992701.4609375
ngoodjets == 2,66.20559692382812,18.90838050842285,66.20559692382812,66.20559692382812,66.20559692382812,66.20559692382812,390446.248046875,491756.0400390625
ngoodbtags ==2,20.616363525390625,5.7790141105651855,20.616363525390625,20.616363525390625,20.616363525390625,20.616363525390625,89006.888671875,42980.17370605469
mct >= 170,2.909602403640747,1.6798545122146606,2.909602403640747,2.909602403640747,2.909602403640747,2.909602403640747,409.98768043518066,958.1929378509521
pfmet >= 125,2.089770555496216,1.3905020952224731,2.089770555496216,2.089770555496216,2.089770555496216,2.089770555496216,179.51756381988525,456.70735454559326
mt_met_lep >= 150,0.2531844973564148,0.3978617787361145,0.2531844973564148,0.2531844973564148,0.2531844973564148,0.2531844973564148,40.94264554977417,2.4395053684711456
