 ,"(225, 75) x 50","(250, 1) x 50","(350, 100) x 50","(500, 1) x 50","(500, 125) x 50","(700, 1) x 50",2l top
Mbb window,18.34701169785711,5.277796757136871,18.34701169785711,18.34701169785711,18.34701169785711,18.34701169785711,29907.55231993241
MCT>170GeV,2.6995162586273755,1.6083944175654228,2.6995162586273755,2.6995162586273755,2.6995162586273755,2.6995162586273755,146.6425422843545
MT>150GeV,0.23438913622812813,0.37583085636579244,0.23438913622812813,0.23438913622812813,0.23438913622812813,0.23438913622812813,11.549592765420677
tau veto,163.7693059595193,35.788796386826874,163.7693059595193,163.7693059595193,163.7693059595193,163.7693059595193,939776.1461300461
2nd lep veto,166.88102380255228,36.53237571555033,166.88102380255228,166.88102380255228,166.88102380255228,166.88102380255228,1263930.447428117
track veto,164.40781429614165,35.93427929896842,164.40781429614165,164.40781429614165,164.40781429614165,164.40781429614165,1030658.5034171448
==2 btags,20.731314980176887,5.811234101656106,20.731314980176887,20.731314980176887,20.731314980176887,20.731314980176887,89525.78306168191
MET>125GeV,1.9640193139115407,1.333593361297968,1.9640193139115407,1.9640193139115407,1.9640193139115407,1.9640193139115407,64.48930511996149
Total,395.74585056064296,37.43356153242713,395.74585056064296,395.74585056064296,395.74585056064296,395.74585056064296,2697902.7327487785
1 good lep,173.47220796097668,37.409314380403536,173.47220796097668,173.47220796097668,173.47220796097668,173.47220796097668,1933899.3865833313
==2jets,66.5584323047683,19.01380837850586,66.5584323047683,66.5584323047683,66.5584323047683,66.5584323047683,392764.09718650393
